LOC_BLANK,LOC_CODE_AND_COMMENT,HALSTEAD_CONTENT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,Defective
2,0,7.15,0.5,17,4,14,14,0,N
48,2,94.07,0.07,187,77,25,272,35.43,Y
14,3,25.75,0.09,53,21,19,65,44,N
1,0,8.55,0.33,18,5,13,12,0,N
8,2,34.56,0.1,14,14,8,20,18.18,N
3,0,13.27,0.23,12,8,15,13,0,N
3,0,24.82,0.19,20,14,11,16,0,N
1,0,13.8,0.33,10,7,11,9,0,N
2,0,27.54,0.27,27,15,11,15,0,N
13,3,56.43,0.1,63,27,11,41,33.33,N
0,0,15.7,0.17,17,8,10,12,0,N
35,2,61.71,0.07,105,45,19,108,27.78,N
7,1,41.64,0.07,32,18,8,28,45,N
0,0,15.77,0.17,11,8,10,12,0,N
12,1,35.52,0.17,84,33,24,64,25.49,Y
57,7,150.67,0.26,438,148,33,252,7.73,N
21,5,31.29,0.15,63,31,24,52,16.67,N
9,0,29.9,0.13,43,22,17,30,15,N
17,4,36.66,0.13,37,22,16,47,37.93,Y
1,0,25.03,0.23,18,14,13,22,15,N
3,0,19.93,0.29,19,12,14,17,7.69,N
0,0,11.99,0.5,6,5,9,6,0,N
0,0,11.39,0.4,3,3,7,5,0,N
7,4,48.79,0.08,73,38,20,37,34.48,N
2,0,7.91,0.29,7,4,7,7,0,N
26,3,67.59,0.1,58,39,15,92,58.46,Y
39,4,44.55,0.05,88,33,19,114,48.65,Y
1,0,14.4,0.4,12,6,10,10,0,N
2,10,59.38,0.2,59,27,11,15,83.33,N
9,2,80.39,0.1,57,40,13,59,10.2,N
1,0,11.15,0.25,10,6,11,8,0,N
2,0,16.5,0.22,4,4,4,9,0,N
3,0,10.41,0.2,8,5,8,10,16.67,N
6,0,20.31,0.15,20,13,14,20,7.69,N
20,6,82.63,0.07,100,49,16,72,31.37,N
1,0,22.15,0.15,16,10,8,13,0,N
2,1,36.89,0.29,29,22,15,21,5.56,N
12,6,111.38,0.35,430,118,34,161,8.1,N
24,6,46.55,0.11,74,39,21,62,35.14,N
11,4,38.26,0.12,82,37,25,60,25,N
33,4,43.02,0.05,38,25,13,75,56.1,N
2,0,6.5,0.25,4,2,6,8,0,N
3,0,10.84,0.29,16,7,12,14,0,N
12,2,40.12,0.06,22,20,11,32,31.58,N
2,1,18.95,0.15,19,12,13,20,23.53,N
4,0,46.36,0.14,42,33,20,43,0,N
2,1,23.67,0.19,46,17,17,27,4.17,N
5,1,19.08,0.14,18,10,11,22,12.5,N
3,0,34.83,0.25,50,19,12,28,8.33,N
1,0,16.12,0.38,22,10,13,13,0,N
0,1,27.01,0.22,19,13,16,9,25,N
1,0,19.1,0.29,13,9,8,7,0,N
3,1,23.84,0.17,15,12,12,18,7.14,N
19,0,239.03,0.12,564,148,19,257,13.08,N
5,0,70.75,0.44,204,68,33,80,0,N
0,0,22.19,0.2,21,13,11,15,0,N
40,5,56.67,0.14,68,35,18,118,36.36,N
10,4,99.53,0.06,95,45,11,50,10.26,N
1,0,53.82,0.17,45,27,11,23,0,N
6,2,22.46,0.13,18,13,13,15,25,N
4,0,17.28,0.29,19,11,14,14,0,N
0,4,33.71,0.13,44,20,12,15,57.14,N
71,21,85.98,0.08,164,73,25,208,52.94,N
19,4,32.36,0.1,86,30,22,63,53.49,N
12,0,154.38,0.05,403,107,20,178,16.97,N
22,5,25.18,0.08,45,18,16,63,50,N
1,0,8.26,0.22,11,5,11,9,0,N
2,0,7.8,0.44,29,6,18,16,0,N
0,0,10.28,0.5,5,4,7,4,0,N
0,0,18.62,0.25,13,10,10,8,0,N
8,1,26.99,0.1,19,15,11,20,9.09,N
1,1,22.43,0.24,22,12,11,17,13.33,N
15,3,38.86,0.05,51,25,14,55,61.54,N
4,0,11.6,0.27,66,12,14,15,0,N
13,4,34.49,0.13,117,25,16,54,30,N
0,1,22.64,0.3,14,11,9,10,11.11,N
10,2,22.96,0.1,27,16,16,31,45,N
7,1,20.84,0.1,9,8,7,20,58.33,N
22,4,50.37,0.17,74,39,19,69,50,Y
4,0,17.13,0.13,7,6,8,15,20,N
9,1,24.81,0.08,17,12,12,25,53.33,N
29,4,39.96,0.1,58,30,21,89,32.68,N
1,5,32.72,0.25,86,34,30,36,17.65,N
13,4,56.04,0.12,110,32,13,52,31.58,N
6,0,18.46,0.04,31,11,12,47,70,N
1,0,26.51,0.13,19,12,9,15,0,N
0,0,16.82,0.22,15,9,10,9,12.5,N
10,2,37,0.12,76,37,27,49,5.26,N
32,6,63.05,0.19,165,41,16,78,35.56,N
6,0,24.53,0.1,13,11,10,21,28.57,N
3,0,33.71,0.18,47,19,12,28,0,N
0,0,20.07,0.33,13,11,10,6,0,N
10,2,85.25,0.06,88,44,13,53,14.29,N
0,0,19.25,0.43,13,9,9,7,0,N
13,4,31.36,0.13,28,18,13,32,22.22,N
20,8,56.27,0.1,84,42,20,77,33.93,N
22,9,35.09,0.07,91,24,16,136,42.48,Y
1,0,20.81,0.17,18,11,11,12,0,N
45,42,106.48,0.11,405,123,36,237,36.13,Y
1,1,12.7,0.23,20,8,13,13,9.09,N
2,0,18.35,0.2,15,9,10,15,0,N
6,0,28.56,0.11,31,16,11,18,0,N
3,0,11.42,0.25,11,6,8,8,0,N
3,1,25.04,0.11,22,9,6,18,21.43,N
28,5,99.95,0.06,92,50,13,89,46.67,Y
7,7,33.74,0.29,85,35,29,55,40.43,N
1,0,18.39,0.21,32,15,18,14,0,N
21,6,318.29,0.46,645,149,17,97,9.33,Y
0,0,8.57,0.4,6,4,7,5,0,N
1,0,17.8,0.36,17,9,13,11,0,N
1,0,38.09,0.17,26,16,8,12,0,N
1,0,14.12,0.44,14,8,11,9,0,N
11,4,29.73,0.09,35,19,14,53,48.78,N
2,0,15.12,0.32,34,10,15,25,0,N
2,0,14.04,0.44,34,11,19,16,0,N
2,2,26.33,0.3,69,17,14,37,17.65,N
28,4,40.48,0.05,39,26,15,78,52.94,Y
8,1,30.78,0.09,28,20,15,32,43.48,N
5,0,69.53,0.03,86,36,14,34,32.14,N
23,1,42.42,0.1,77,35,22,77,15.09,Y
1,0,30.72,0.18,51,17,17,17,0,N
7,4,83.81,0.15,187,85,30,99,9.89,Y
13,4,99.09,0.38,306,109,35,124,5.88,N
2,0,13.12,0.23,13,9,15,13,0,N
2,0,10.04,0.3,45,9,18,27,0,N
14,6,37.82,0.03,57,26,16,91,62.32,N
3,0,10.13,0.25,9,6,10,8,0,N
2,0,27.81,0.15,17,14,11,20,5.88,N
0,0,11.86,0.29,13,6,8,7,0,N
4,0,18.27,0.2,12,9,11,15,10,N
1,1,30.43,0.13,27,19,14,23,9.52,N
19,2,33.66,0.05,131,25,17,62,35.71,Y
7,0,28.85,0.09,22,17,15,44,38.89,N
3,17,76.91,0.39,98,34,11,23,89.47,Y
0,0,15.35,0.31,31,12,16,13,0,N
3,0,15.17,0.33,35,11,15,15,0,N
6,0,29.04,0.1,29,13,8,20,7.69,N
4,0,21.13,0.18,23,12,12,17,0,N
7,0,68.44,0.31,107,44,26,42,0,N
1,0,10.4,0.27,12,6,11,11,0,N
4,0,13.74,0.17,17,8,10,12,0,N
2,3,19.75,0.2,42,15,17,44,14.29,N
5,0,24.39,0.06,12,10,9,31,56,N
0,0,31.21,0.17,21,12,7,12,0,N
10,0,33.68,0.3,34,19,12,20,0,Y
11,2,40.92,0.06,23,16,9,34,45.45,N
1,0,8.89,0.4,15,6,14,10,0,N
2,1,8.39,0.35,27,7,17,17,14.29,N
2,0,10.61,0.5,25,7,13,12,0,N
1,0,19.85,0.11,37,11,10,19,0,N
15,0,39.6,0.05,32,22,13,42,19.23,Y
10,6,189.65,0.43,438,90,15,60,14.29,Y
14,5,37.31,0.17,63,33,25,66,33.33,N
36,10,79.19,0.06,109,59,21,122,43.53,Y
0,0,27.36,0.28,69,20,17,32,0,N
13,0,28.71,0.12,60,18,14,42,17.86,N
1,0,10.7,0.21,15,6,11,14,0,N
6,0,19.1,0.14,22,12,13,21,0,N
3,0,16.66,0.24,39,15,21,17,0,N
3,8,52.16,0.27,167,59,38,96,10.71,N
7,1,19.14,0.13,24,12,14,31,17.39,N
3,0,64.9,0.14,145,41,27,36,3.13,N
14,5,84.72,0.09,152,69,23,125,37.27,N
1,0,13.06,0.36,18,9,16,14,16.67,N
1,0,13.69,0.2,10,7,9,10,0,N
16,0,233.67,0.11,571,152,20,261,14.34,N
4,0,34.93,0.13,40,22,14,45,0,N
5,0,16.18,0.13,10,7,9,16,0,N
1,1,27.19,0.22,18,13,16,9,14.29,N
7,2,25.26,0.13,29,18,16,31,21.74,Y
15,0,175.59,0.03,644,121,20,256,20.83,N
4,1,21.76,0.17,14,8,6,12,14.29,N
5,0,93.04,0.23,124,66,20,65,0,N
15,1,49.71,0.05,43,26,12,56,65,N
21,3,107.69,0.09,242,104,29,143,21.49,N
5,6,95.6,0.23,151,68,19,75,17.39,Y
1,0,21.91,0.29,17,11,13,14,0,N
2,0,7.24,0.36,14,4,12,14,0,N
4,6,51.63,0.38,94,49,27,45,15,N
1,4,42.06,0.16,67,34,22,37,11.43,Y
26,4,33.74,0.13,58,30,24,85,34.48,N
4,4,33.95,0.19,31,23,21,43,15.79,N
1,0,16.45,0.31,22,10,13,13,0,N
1,0,29,0.44,41,20,17,18,0,N
1,0,34.66,0.17,46,21,13,23,0,N
15,1,21.15,0.07,9,7,7,28,25,N
3,0,42.81,0.36,92,39,26,45,0,N
39,1,90.99,0.09,268,101,34,190,0.67,N
11,2,18.53,0.09,20,12,14,32,50,N
1,0,44.6,0.37,51,24,12,19,0,N
1,0,7.74,0.38,77,8,21,21,0,N
1,0,10.75,0.29,5,4,8,7,0,N
2,0,12.06,0.23,18,8,15,13,0,N
2,0,70.18,0.33,69,41,16,60,5.26,N
22,8,73.73,0.11,68,46,17,63,22.5,N
1,0,14.6,0.2,17,11,15,10,0,N
4,1,62.47,0.18,97,39,16,39,14.71,Y
6,1,66.13,0.08,87,36,13,36,24.14,N
3,0,55.57,0.13,36,25,10,23,0,N
1,0,19.76,0.25,14,8,12,8,0,N
0,1,48.96,0.12,71,38,19,25,4.17,Y
18,4,86.98,0.11,69,46,15,88,18.84,N
2,0,18.53,0.18,18,9,9,11,0,N
0,1,25.67,0.23,29,17,13,13,8.33,N
1,5,29.35,0.25,67,23,23,48,10.87,N
45,4,126.88,0.17,221,91,22,205,26.42,Y
1,0,13.56,0.2,8,6,8,10,0,N
0,0,23.44,0.21,16,12,11,14,0,N
0,0,16.86,0.42,29,11,13,12,0,N
12,0,98.29,0.04,175,52,13,91,24.36,N
1,0,8.7,0.42,15,5,14,12,0,N
3,0,42.17,0.09,49,30,18,33,27.59,N
0,0,11.3,0.54,33,8,13,13,8.33,N
0,0,17.2,0.22,12,9,10,9,0,N
0,0,17.66,0.38,23,10,10,8,0,N
4,1,15.74,0.3,33,12,19,27,9.09,N
1,0,11.58,0.25,20,8,17,16,0,N
4,4,98.77,0.27,198,90,28,83,6.41,N
13,0,1535.48,0.01,1129,459,9,413,0.5,N
1,0,9.65,0.3,13,6,13,10,0,N
16,0,104.29,0.27,246,100,30,113,1.04,N
14,0,41.8,0.09,58,28,17,53,26.32,N
5,1,53.31,0.21,113,45,24,58,3.85,N
0,0,13.51,0.38,20,9,12,8,0,N
18,4,33.36,0.15,41,23,16,48,51.72,Y
11,1,47.28,0.09,40,29,16,54,28.57,Y
1,1,31.18,0.26,43,22,20,23,4.76,N
1,0,10.91,0.33,8,5,11,9,0,N
0,0,17.47,0.29,9,7,8,7,0,N
6,0,26.25,0.11,41,12,8,19,0,N
5,3,44.17,0.12,79,30,17,43,27.03,Y
1,0,23.36,0.36,39,17,16,22,5,N
20,3,32.27,0.07,72,27,19,57,30.56,N
10,2,42.41,0.21,40,22,17,34,30.43,N
2,0,9.47,0.47,21,5,15,19,0,N
0,0,18.39,0.33,11,9,8,6,0,N
26,3,98.24,0.05,170,67,18,82,29.09,Y
2,2,31.35,0.1,30,16,11,20,29.41,N
43,3,49.36,0.07,55,28,15,100,32.14,N
4,0,57.48,0.19,36,27,12,27,9.09,N
5,0,59.11,0.17,124,49,24,75,8.7,N
2,0,10.13,0.47,23,6,17,19,0,N
2,0,20.15,0.24,35,18,22,25,0,N
1,0,22.95,0.3,43,18,19,30,0,N
5,1,38.67,0.15,79,32,21,39,15.15,N
1,0,22.59,0.19,20,14,14,16,0,N
8,1,17.39,0.14,42,12,15,21,8.33,Y
9,14,147.44,0.13,189,101,21,167,27.14,Y
0,0,6.5,0.29,4,2,6,7,0,N
2,1,26.73,0.25,22,13,10,16,7.69,N
4,0,23.64,0.21,22,13,11,14,0,N
1,1,17.31,0.2,11,7,7,10,12.5,N
1,0,18.92,0.24,31,15,19,29,0,N
3,1,35.61,0.11,35,21,14,28,8.33,N
1,0,16.95,0.12,22,12,18,17,0,N
20,5,33.47,0.15,68,29,21,59,44.74,Y
4,1,37.18,0.13,55,28,18,39,2.94,N
4,0,43.02,0.23,53,32,20,30,0,N
0,0,6,0.29,4,2,6,7,0,N
12,2,26.93,0.1,21,17,14,31,50,N
0,0,24.59,0.33,26,16,14,9,0,N
1,0,40.01,0.2,22,16,8,20,0,N
1,0,13.96,0.07,9,6,8,14,33.33,N
1,0,11.85,0.3,11,7,13,10,0,N
4,0,32.31,0.11,62,29,29,45,2.5,N
32,6,103.85,0.13,207,87,26,145,24.11,N
19,0,51.05,0.09,75,38,20,68,29.17,Y
5,0,22.02,0.13,54,18,18,23,0,N
6,0,20.6,0.09,21,13,14,33,50,N
1,5,16.21,0.21,64,15,22,29,18.52,N
6,1,31.9,0.11,23,15,9,18,9.09,Y
13,0,88.36,0.35,144,66,20,55,0,N
8,0,28.04,0.07,27,17,13,43,55.88,N
0,0,9.49,0.5,3,3,7,4,0,N
1,0,25.81,0.26,63,22,21,31,0,N
3,0,33.88,0.48,95,30,25,40,0,N
6,0,51.66,0.05,187,38,18,61,20.37,N
16,2,24.56,0.06,42,17,15,49,50,N
2,0,16.12,0.31,22,10,13,13,0,N
9,0,20.43,0.08,48,14,14,51,39.02,N
0,0,12.61,0.6,6,4,9,5,0,N
1,0,10.75,0.29,6,4,8,7,0,N
36,12,117.25,0.13,143,70,17,102,27.69,Y
13,5,50.97,0.08,41,29,15,48,29.41,Y
6,1,25.16,0.14,24,15,14,21,14.29,N
8,3,20.71,0.11,56,16,16,37,28.57,N
9,1,16.12,0.09,12,8,10,23,61.54,N
47,15,116.45,0.06,153,76,19,196,62.84,N
15,3,37.06,0.07,69,29,19,46,43.33,N
24,18,182.27,0.1,195,94,15,184,35.22,N
14,2,32.85,0.06,31,17,10,35,55,N
3,0,13.29,0.33,18,7,8,9,0,N
1,0,19.57,0.4,55,16,18,25,0,N
1,0,29.8,0.2,15,13,10,15,0,N
1,0,11.97,0.43,25,10,20,14,0,N
1,0,47.51,0.09,80,25,16,22,0,N
4,0,16.82,0.13,20,9,10,24,31.58,N
6,0,47.82,0.04,220,36,18,67,18.33,N
2,0,18.35,0.21,15,9,10,14,0,N
12,2,69.02,0.33,181,79,39,102,2.25,N
2,0,33.99,0.42,53,23,19,31,0,N
0,0,30.6,0.16,26,18,13,19,0,N
6,2,40.52,0.07,23,18,9,28,52.38,Y
1,0,15.9,0.25,9,7,10,8,0,N
18,4,120.55,0.14,267,131,35,182,9.15,Y
1,0,14.73,0.33,13,8,11,9,0,N
57,2,38.44,0.09,106,37,28,152,12.77,N
7,0,25.61,0.09,24,14,11,23,6.67,N
2,0,36.63,0.32,55,22,14,22,0,N
2,0,28.86,0.22,58,18,13,32,0,N
20,4,52.95,0.09,38,30,14,56,42.86,Y
2,0,28.34,0.27,56,22,18,26,0,N
1,0,13.79,0.32,28,8,12,19,0,N
16,0,249.73,0.14,675,180,23,307,12.07,N
14,4,52.67,0.09,29,25,11,33,22.22,Y
6,0,26.46,0.1,24,13,10,21,14.29,N
1,0,18.06,0.33,22,13,14,12,0,N
35,1,55.18,0.16,116,58,32,132,3.13,Y
3,0,37.65,0.13,65,24,14,30,0,N
5,1,19.72,0.1,8,6,6,21,46.67,N
4,0,26.43,0.31,75,27,25,35,3.33,N
5,0,19.95,0.18,21,11,13,34,14.29,N
6,0,14.23,0.06,139,11,15,33,3.85,N
6,1,18.91,0.14,19,10,11,21,7.14,N
3,0,19.33,0.3,37,11,10,20,0,N
8,0,39.81,0.08,59,17,8,25,0,N
0,0,16.4,0.25,14,10,13,12,0,N
10,0,24.52,0.11,35,18,17,38,14.81,Y
21,4,40.02,0.13,49,30,21,72,14,N
0,0,25.96,0.22,29,13,10,18,0,N
29,8,45.05,0.05,61,32,17,84,57.41,N
7,0,63.05,0.12,141,49,20,50,16.67,N
10,0,53.55,0.08,63,22,8,38,18.52,N
4,0,10.34,0.17,9,5,9,12,0,N
1,0,7.4,0.25,8,4,9,8,0,N
1,1,31.55,0.11,42,24,16,19,5.88,N
10,4,30.6,0.17,32,19,13,29,38.89,Y
19,2,44.02,0.06,123,43,26,125,39.05,N
4,0,27.43,0.18,22,14,10,17,0,N
20,4,55.47,0.11,36,29,13,57,58.33,Y
7,2,37.25,0.1,80,32,22,41,27.27,Y
2,0,15.12,0.36,15,9,14,14,9.09,N
2,0,18.54,0.19,30,13,14,16,0,N
12,2,61.47,0.04,22,19,7,46,60.61,Y
33,9,77.75,0.06,117,56,20,138,58.65,N
13,2,65.63,0.06,106,50,20,95,39.51,N
13,0,56.88,0.03,71,28,13,58,25,N
11,2,42.25,0.15,40,26,15,40,50,Y
1,0,11.23,0.4,10,5,14,5,0,N
2,0,21.83,0.24,38,15,17,17,0,N
2,5,13.69,0.08,23,9,13,25,63.64,N
7,0,16.05,0.14,16,9,12,22,0,N
0,0,17.84,0.33,24,11,11,9,0,N
0,0,16.21,0.33,6,5,7,6,0,N
3,4,38.31,0.13,43,27,17,32,25,Y
2,0,17.79,0.18,9,8,10,11,12.5,N
5,0,17.83,0.21,16,10,13,19,0,N
18,3,53.13,0.17,79,36,17,60,29.27,N
2,1,33.76,0.16,39,20,12,19,12.5,N
3,0,43.84,0.29,78,36,21,34,0,N
12,0,48.3,0.05,70,34,17,37,41.67,Y
1,0,20,0.3,30,12,13,23,0,N
3,0,9.87,0.22,5,4,9,9,0,N
18,0,362.37,0.17,1792,269,25,678,4.86,N
6,0,32.59,0.27,42,16,10,26,0,N
0,0,25.55,0.22,29,13,10,18,0,N
4,4,33.31,0.14,50,25,17,29,20.83,N
20,9,16.23,0.1,209,17,24,90,44.93,N
12,2,28.9,0.09,23,17,16,64,20.83,N
1,0,47.44,0.29,78,40,24,45,0,N
7,2,20.9,0.11,37,17,17,38,19.05,N
0,0,24.55,0.28,45,19,20,18,0,N
6,2,27.15,0.1,51,16,12,42,25.71,N
19,3,43.01,0.17,208,54,37,110,16.67,N
8,2,20.57,0.15,62,18,20,46,29.73,N
11,4,25.67,0.05,45,17,14,63,50.98,N
16,6,48.73,0.11,45,33,20,65,39.58,N
7,1,29.33,0.08,15,10,6,24,25,N
0,0,9.87,0.29,5,4,9,7,0,N
22,10,71.6,0.11,75,46,17,66,23.26,Y
60,8,74.64,0.02,85,40,13,126,64.62,Y
9,0,22.13,0.18,25,14,15,38,6.9,N
6,1,44.39,0.08,45,29,17,52,28.89,N
4,0,35.36,0.31,58,18,11,29,0,Y
7,0,99.6,0.05,133,55,14,62,14.81,N
1,0,30.47,0.19,45,22,16,31,3.45,N
3,0,24.26,0.23,50,20,19,30,0,N
18,6,48.39,0.13,146,35,17,69,34,N
0,0,21.01,0.2,27,14,14,20,15.79,N
6,3,23.69,0.2,12,8,6,20,61.54,N
1,0,13.27,0.22,28,10,15,18,0,N
8,3,123.47,0.48,530,143,37,151,2.11,N
8,0,31.97,0.08,32,19,13,24,6.67,N
26,7,84.79,0.09,101,56,17,111,60.71,N
1,0,15.39,0.27,22,12,22,15,0,N
1,1,14.1,0.18,15,7,9,11,11.11,N
0,0,7.24,0.33,15,4,9,6,0,N
1,0,11.2,0.29,9,6,10,7,0,N
1,0,16.35,0.2,23,8,8,10,0,N
14,0,51.1,0.15,60,27,11,39,16.67,Y
6,5,50.16,0.07,106,31,16,43,55.56,N
1,0,95.28,0.37,176,72,21,57,0,N
16,2,25.18,0.14,38,19,18,43,30.77,N
12,1,46.1,0.07,36,23,11,43,40,N
3,1,28.72,0.18,25,16,12,22,22.22,N
6,1,51.47,0.1,71,23,9,30,13.04,N
0,0,16.25,0.2,16,9,10,10,0,N
25,2,95.22,0.15,230,71,20,103,16.88,N
1,0,11.86,0.29,6,4,7,7,0,N
7,2,99.64,0.42,164,50,15,33,12,Y
2,1,31.58,0.22,32,17,14,27,4.17,N
1,3,47.04,0.44,515,29,13,108,2.83,N
1,0,10.76,0.3,16,7,13,10,0,N
