LOC_BLANK,LOC_CODE_AND_COMMENT,EDGE_COUNT,HALSTEAD_CONTENT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUMBER_OF_LINES,LOC_TOTAL,Defective
5,2,13,39.87,0.07,28,15,N
14,1,15,75.95,0.06,52,28,N
20,0,30,55.34,0.09,77,40,N
0,0,7,19.43,0.22,9,8,N
20,0,22,23.63,0.13,52,27,Y
1,1,10,13.96,0.23,13,11,N
9,2,20,34.52,0.22,37,27,N
11,1,27,50.36,0.17,42,30,N
1,0,6,19.85,0.11,19,17,N
2,2,68,30.56,0.44,39,36,N
23,0,86,67.01,0.24,109,72,N
2,0,7,11.6,0.18,11,8,N
1,0,10,6.02,0.33,9,7,N
4,0,9,27.97,0.09,22,17,N
1,0,17,8.52,0.42,12,10,N
9,0,22,39.03,0.16,38,21,N
4,0,14,25.84,0.15,26,21,N
3,2,11,29.62,0.04,80,18,N
1,0,11,22.33,0.3,10,8,N
1,4,96,42.16,0.26,106,103,N
3,5,27,36.01,0.23,31,27,N
1,0,14,15.86,0.25,16,14,N
9,2,18,32.1,0.07,74,23,Y
0,0,29,39.03,0.54,13,12,N
30,6,38,47.89,0.11,91,49,N
42,0,65,68.52,0.07,211,46,N
29,17,68,129.41,0.11,186,118,N
2,0,25,7.15,0.5,14,11,N
4,0,21,38.89,0.14,42,37,N
32,16,52,52.7,0.05,170,64,Y
1,0,12,19.41,0.2,15,13,N
6,0,7,18.88,0.13,16,9,N
2,0,28,25.13,0.33,21,20,N
1,0,9,10.49,0.21,14,12,N
14,2,22,27.48,0.13,39,19,N
39,4,81,80.95,0.14,179,107,Y
7,0,12,20.48,0.09,32,16,N
1,9,32,50.26,0.11,46,45,N
8,0,26,43.76,0.16,44,28,N
2,0,9,12.16,0.33,9,8,N
1,0,28,20,0.3,23,21,N
3,0,7,22.01,0.14,14,9,N
15,1,17,74.49,0.05,64,40,N
1,0,9,30.72,0.18,17,15,N
4,0,7,17.4,0.14,14,9,N
9,0,16,27.19,0.16,31,18,N
6,1,8,19.93,0.1,21,9,N
0,0,6,6.5,0.29,7,6,N
31,0,45,50.49,0.1,105,63,N
60,4,20,49.14,0.06,100,36,N
1,0,7,16.96,0.18,11,9,N
31,3,67,54.85,0.17,121,63,N
1,1,20,21.36,0.29,21,19,N
19,2,36,42.11,0.07,122,64,N
2,1,11,19.11,0.17,18,15,N
5,0,7,41.58,0.08,24,14,N
9,1,12,27.79,0.04,54,19,Y
4,2,48,47.52,0.23,52,45,N
0,0,30,27.36,0.28,32,31,N
3,0,6,8.79,0.14,14,10,N
8,0,8,100.04,0.04,48,35,N
5,0,19,29.28,0.17,41,23,N
3,0,31,25.26,0.36,22,18,N
11,0,23,34.46,0.14,50,32,N
2,0,13,22.29,0.19,16,13,N
7,1,13,31.08,0.06,69,15,Y
6,1,14,19.49,0.24,21,11,N
4,0,9,19.04,0.09,23,11,N
1,0,21,22.75,0.3,20,18,N
10,0,10,29.64,0.11,28,17,N
7,5,13,36.57,0.11,38,24,Y
31,11,44,75.47,0.05,167,91,Y
6,1,17,41.14,0.08,51,32,N
0,0,7,8.41,0.25,8,7,N
4,0,10,34.4,0.13,15,10,N
2,0,30,28.86,0.22,32,29,N
3,0,8,19.66,0.15,20,12,N
1,0,24,45.44,0.24,21,19,N
1,0,16,35.93,0.2,15,13,N
5,0,6,14.04,0.15,13,7,N
11,2,27,36.33,0.12,50,32,Y
5,5,31,169.61,0.1,58,42,N
0,0,12,15.57,0.38,8,7,N
3,0,53,58.73,0.25,40,36,N
3,5,26,50.38,0.21,38,25,Y
0,0,6,16.82,0.22,9,7,N
31,9,48,79.38,0.1,109,69,N
4,1,32,15.74,0.3,27,21,N
2,0,12,20.13,0.21,14,13,N
20,0,28,66.64,0.09,65,38,Y
1,0,13,49.57,0.09,22,20,N
1,0,29,26.75,0.4,20,18,N
4,0,12,45.16,0.09,33,27,N
15,15,48,44.17,0.1,105,77,N
1,0,7,13.4,0.2,10,8,N
17,3,8,38.3,0.04,53,19,N
0,0,10,9.42,0.33,9,8,N
0,0,10,13.67,0.43,7,6,N
10,2,139,129.08,0.16,156,144,N
1,0,32,33.58,0.32,22,20,N
3,0,32,34.83,0.25,28,22,N
1,1,15,18.99,0.2,20,18,N
1,0,7,26.51,0.13,15,13,N
1,0,6,16.65,0.14,14,12,N
2,0,23,10.61,0.5,12,9,N
2,1,25,24.71,0.19,27,24,N
16,5,22,61.13,0.06,81,42,N
9,0,10,32.4,0.11,27,17,N
22,0,42,69.97,0.11,92,50,N
1,0,14,21.91,0.29,14,12,N
9,0,26,44.04,0.14,43,27,N
22,1,37,54.02,0.11,63,35,N
2,0,9,12.1,0.27,11,8,N
21,4,33,45.07,0.11,71,41,N
1,0,14,14.4,0.4,10,8,N
4,0,71,63.69,0.37,35,30,N
1,0,6,11.23,0.4,5,3,N
1,0,6,8.22,0.22,9,7,N
1,0,22,14.61,0.32,19,17,N
7,0,10,31.45,0.08,26,14,N
18,9,51,56.74,0.13,112,76,N
1,0,20,15.38,0.32,19,17,N
18,0,30,55.79,0.09,66,40,N
14,2,28,35.84,0.08,73,42,N
0,1,13,9.76,0.21,14,13,N
28,2,15,21.22,0.11,61,15,N
10,2,13,61.05,0.06,49,36,Y
2,5,20,65.97,0.12,42,29,N
4,0,39,26.43,0.31,35,29,N
8,2,22,53.64,0.13,47,25,N
1,0,6,12.48,0.2,10,8,N
12,0,21,32.61,0.12,43,27,N
7,3,17,51.99,0.1,50,30,N
3,0,68,33.88,0.48,40,36,N
1,0,8,11.2,0.29,7,5,N
0,0,12,14.12,0.57,7,6,N
11,0,32,59.96,0.08,64,48,N
5,1,14,15.83,0.14,22,15,N
1,0,27,23.36,0.36,22,19,N
24,12,96,89.79,0.12,175,109,Y
4,0,10,13.13,0.25,12,7,N
9,0,29,54.24,0.12,69,51,N
23,11,25,43.78,0.03,99,48,Y
2,0,16,21.83,0.24,17,14,N
16,6,247,116.17,0.35,161,141,N
0,1,12,22.64,0.3,10,9,N
37,13,103,97.66,0.15,171,110,Y
18,1,41,61.6,0.07,138,61,N
17,0,40,48.28,0.15,61,40,N
2,0,13,7.44,0.33,12,9,N
1,0,10,11.62,0.33,9,7,N
13,0,34,50.85,0.18,50,32,N
18,2,67,45.8,0.15,110,70,N
3,0,32,27.29,0.33,21,17,N
1,0,15,6.88,0.33,12,10,N
37,1,93,111.77,0.13,203,117,N
13,3,25,43,0.12,49,30,N
3,0,57,49.36,0.24,50,45,N
13,2,10,120.16,0.04,70,48,N
12,0,10,33.27,0.08,36,20,N
12,0,12,46.5,0.11,36,23,Y
2,0,7,19.62,0.17,12,8,N
7,5,30,19.28,0.18,39,26,N
8,2,16,31.88,0.13,32,17,Y
1,3,6,14.49,0.13,15,10,N
7,1,16,29.83,0.1,39,31,N
5,0,11,6.98,0.25,16,10,N
2,1,5,13.87,0.29,7,6,N
1,0,10,22.75,0.25,12,10,N
32,4,108,88.43,0.14,223,130,N
17,0,35,53.96,0.21,61,43,N
5,2,11,17.46,0.24,17,11,N
11,0,18,33.12,0.2,35,23,N
56,42,181,79.48,0.16,230,141,N
2,0,32,28.4,0.41,22,19,N
3,0,23,18.37,0.42,19,17,N
31,2,79,106.19,0.12,156,103,N
5,0,40,56.82,0.2,40,34,N
1,1,17,21.74,0.26,23,21,N
2,0,29,15.12,0.32,25,22,N
0,0,20,16.89,0.4,15,14,N
11,7,30,44.18,0.13,84,41,N
9,0,8,37.7,0.06,32,14,N
9,0,22,41.15,0.16,38,21,N
0,0,7,13.11,0.5,6,5,N
1,0,11,19.82,0.21,14,12,N
5,0,9,25.22,0.1,20,14,N
20,0,38,49.49,0.05,120,49,N
9,0,14,34.4,0.12,25,14,N
9,0,30,36.38,0.11,53,29,N
17,0,17,102.01,0.04,81,50,N
7,0,14,41.62,0.11,45,34,N
0,0,6,7.91,0.4,5,4,N
19,0,40,69.56,0.13,68,41,N
13,2,34,40.9,0.16,74,60,Y
31,0,56,70.21,0.11,152,93,Y
1,0,10,20.81,0.17,12,10,N
10,10,81,143.69,0.21,99,72,N
1,1,5,13.87,0.29,7,5,N
19,0,40,63.87,0.13,64,44,N
1,5,24,16.21,0.21,29,27,N
7,0,17,37.53,0.09,33,23,N
6,2,20,35.57,0.14,35,19,N
2,0,5,28.57,0.14,14,9,N
4,1,8,26.92,0.11,18,12,N
3,3,20,40.56,0.22,27,18,N
13,0,33,48.43,0.17,52,33,N
0,0,7,17.2,0.22,9,8,N
13,1,25,44.98,0.14,42,23,N
3,0,18,27.21,0.22,27,22,N
8,0,23,66.7,0.13,46,33,N
17,24,96,163.74,0.2,146,90,Y
1,0,10,9.57,0.33,9,7,N
12,0,13,39.97,0.06,49,22,N
1,0,16,28.49,0.31,13,11,N
3,1,6,25.04,0.11,18,12,N
14,0,14,75.92,0.03,68,41,N
15,0,24,47.16,0.19,47,29,N
2,2,33,41.04,0.19,42,39,N
2,1,23,13.72,0.31,16,10,N
1,0,32,28.38,0.26,31,29,N
0,0,13,25.55,0.22,18,17,N
8,3,357,133.5,0.48,151,142,N
1,0,19,8.91,0.46,13,11,N
1,0,8,22.15,0.15,13,11,N
0,0,8,11.42,0.29,7,6,N
1,0,13,14.42,0.21,14,12,N
6,2,112,61.49,0.29,78,71,N
13,3,39,62.91,0.1,114,67,N
6,0,15,39.65,0.11,28,21,N
7,0,9,28.36,0.14,21,11,N
2,0,18,7.35,0.45,11,8,N
1,0,7,27.56,0.17,12,7,N
5,3,18,17.63,0.19,26,19,N
2,0,27,10.04,0.3,27,24,N
0,0,13,25.96,0.22,18,17,N
7,2,16,27.09,0.21,29,21,N
17,1,51,160.24,0.12,102,69,Y
0,0,15,15.35,0.31,13,12,N
1,0,6,11.82,0.18,11,9,N
6,2,17,27.15,0.1,42,28,N
2,1,6,14.55,0.14,14,11,N
7,0,29,63.04,0.12,50,35,N
0,0,14,30.08,0.21,24,19,N
1,0,8,19.38,0.3,10,7,N
1,0,14,14.3,0.25,16,13,N
8,0,7,24.36,0.09,23,13,N
3,0,20,32.36,0.23,22,18,N
24,0,63,88.12,0.12,126,83,N
5,2,10,19.77,0.12,25,19,N
6,2,16,15.86,0.2,25,14,N
0,0,6,12.17,0.4,5,4,N
3,0,8,20.9,0.17,18,14,N
7,0,32,32.59,0.27,26,21,N
5,0,19,43.84,0.12,42,29,Y
0,0,6,9.51,0.4,5,4,N
10,0,10,27.85,0.11,28,17,N
8,0,8,31.25,0.08,24,14,N
1,0,10,13.45,0.3,10,8,N
2,0,13,16.12,0.31,13,10,N
14,0,23,35.76,0.11,64,42,N
1,0,23,23.89,0.24,25,23,N
6,0,6,19.81,0.11,19,12,N
3,2,10,34.58,0.1,20,13,N
2,0,15,23.84,0.15,20,17,N
5,3,16,26.32,0.15,33,18,N
15,0,23,69.33,0.08,65,39,N
1,0,23,24.27,0.22,23,21,N
11,0,14,35.9,0.13,31,19,N
1,0,6,19.34,0.18,11,9,N
0,0,14,28.03,0.24,21,17,N
5,0,13,23.58,0.21,19,12,N
19,5,29,23.19,0.1,70,31,N
19,0,44,67.22,0.16,69,44,N
2,0,18,7.24,0.36,14,11,N
3,0,12,10.84,0.29,14,10,N
0,0,6,11.86,0.29,7,6,N
80,10,44,64.48,0.07,163,64,Y
32,1,58,41.45,0.16,122,81,N
8,0,24,49.03,0.1,59,39,N
1,0,10,11.85,0.3,10,8,N
15,2,61,105.63,0.11,120,83,N
1,0,7,14.35,0.2,10,8,N
20,0,44,79.08,0.14,74,46,N
4,0,9,16.48,0.14,21,12,N
1,2,11,22.95,0.23,13,10,N
1,0,24,44.6,0.37,19,17,N
0,0,17,16.86,0.42,12,11,N
17,35,127,109.99,0.12,268,253,N
48,0,21,93.12,0.03,102,32,N
7,0,19,34.79,0.17,36,28,Y
27,2,35,164.89,0.04,164,63,N
7,4,232,170.88,0.29,148,140,N
3,0,8,19.16,0.13,16,12,N
2,1,12,17.5,0.15,20,14,Y
5,0,141,70.75,0.44,80,65,N
0,0,5,20.76,0.13,15,14,N
10,2,9,65.33,0.05,39,28,N
10,0,25,60.7,0.1,69,40,N
1,0,16,18.06,0.33,12,10,N
1,1,8,17.31,0.2,10,8,N
0,1,7,15.09,0.25,8,7,N
10,0,15,60.96,0.06,35,16,N
11,0,22,87.22,0.04,70,31,N
1,0,25,7.74,0.38,21,19,N
1,0,22,11.97,0.43,14,12,N
0,0,6,11.82,0.4,5,4,N
1,0,10,10.91,0.33,9,7,N
3,0,5,15.37,0.12,17,12,N
48,2,14,113.81,0.02,128,53,N
0,0,8,16.25,0.2,10,9,N
41,3,65,67.09,0.11,140,76,N
0,0,6,15.77,0.17,12,11,N
2,0,7,19.12,0.2,10,7,N
8,1,9,72.35,0.02,106,29,Y
10,3,28,54.76,0.15,61,49,Y
4,1,8,21.33,0.13,15,7,N
1,0,18,8.42,0.38,13,11,N
2,0,10,18.35,0.21,14,11,N
8,1,13,31.08,0.07,54,15,Y
1,0,14,24.61,0.31,13,11,N
42,8,50,44.12,0.1,153,91,N
8,0,12,29.67,0.12,26,15,N
1,0,14,10.28,0.5,8,6,N
11,12,32,96.31,0.1,73,61,Y
4,1,6,18.85,0.11,18,10,N
27,0,51,54.19,0.21,107,79,N
7,0,16,44.89,0.11,47,36,N
23,2,31,34.18,0.08,84,35,N
0,0,9,15.36,0.43,7,6,N
23,1,37,55.33,0.1,69,36,N
8,0,13,47.11,0.08,25,16,N
18,0,35,64.45,0.13,61,37,N
56,0,93,87.72,0.09,258,141,Y
8,2,28,22.75,0.15,46,28,N
2,1,15,33.76,0.16,19,15,N
5,0,9,28.35,0.1,21,13,N
1,0,16,8.55,0.33,12,10,N
2,3,33,19.75,0.2,44,21,N
2,0,8,25.27,0.11,18,15,N
27,2,66,92.24,0.13,152,89,N
12,0,16,58.18,0.07,45,19,N
0,3,12,11.89,0.06,17,16,N
16,4,33,41.98,0.15,59,40,N
2,0,5,17.79,0.18,11,7,N
2,0,5,30.71,0.1,21,18,N
0,0,7,8.57,0.4,5,4,N
2,0,11,10.25,0.23,13,10,N
43,1,98,97.32,0.1,221,108,N
3,2,14,32.81,0.24,17,12,N
30,1,78,63.2,0.17,160,123,N
5,1,6,30.49,0.1,21,12,N
0,0,15,17.66,0.33,9,8,N
26,0,57,87.87,0.13,88,61,N
2,0,31,10.13,0.47,19,16,N
3,0,10,19.97,0.4,10,6,N
4,0,74,25.8,0.36,55,50,N
28,4,10,31.98,0.04,77,19,Y
2,0,9,18.15,0.12,17,14,N
9,0,24,43.84,0.11,53,33,N
0,0,24,15.29,0.32,25,24,N
2,1,12,39.02,0.13,23,20,N
1,0,19,25.24,0.28,18,16,N
24,11,28,66.5,0.04,106,52,N
5,0,11,20.73,0.1,30,17,N
1,0,22,11.47,0.25,20,18,N
19,4,29,21.89,0.1,72,31,N
1,0,15,13.27,0.22,18,16,N
16,1,54,27.54,0.19,74,37,N
1,0,8,15.23,0.18,11,7,N
1,0,13,12.65,0.36,11,9,N
11,0,12,34.43,0.13,32,20,N
4,1,9,31.09,0.15,20,12,N
1,0,21,12.67,0.43,14,12,N
1,0,25,12.97,0.35,20,17,N
1,0,36,26.08,0.43,21,19,N
4,0,13,19.64,0.27,15,9,N
1,1,15,41.65,0.13,24,22,N
1,0,51,50.81,0.29,45,43,N
1,0,7,16.95,0.12,17,15,N
3,0,36,37.88,0.15,55,21,N
1,0,7,10.99,0.29,7,5,N
2,0,13,7.22,0.44,9,6,N
2,0,6,11.42,0.22,9,5,N
0,0,7,6.17,0.4,5,4,N
0,0,5,16.21,0.33,6,5,N
1,0,6,8.26,0.22,9,7,N
0,1,17,16.86,0.42,12,11,N
32,3,74,53.86,0.14,146,83,N
4,0,6,16.5,0.14,14,7,N
28,0,57,68.42,0.16,90,51,N
