LOC_BLANK,LOC_CODE_AND_COMMENT,LOC_COMMENTS,DESIGN_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_PROG_TIME,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0,0,0,1,5,10.97,23.8,4,10,7,N
3,0,0,3,11,16.42,25.95,6,8,16,N
1,0,0,2,13,16.63,305.97,10,14,16,N
0,0,0,1,6,26.63,9.25,6,3,8,N
11,0,9,2,21,39.87,175.62,21,11,41,N
4,0,0,1,7,43.37,20.05,13,5,13,Y
1,0,0,7,21,31.43,773.89,19,16,24,N
0,0,0,2,9,16.11,42.07,7,12,11,N
0,0,0,1,9,8,177.8,2,5,11,N
9,0,7,4,21,35.33,123.77,17,10,39,N
0,0,0,2,4,18.23,15.07,7,6,6,N
2,1,0,1,13,21.02,57.23,11,11,18,N
6,0,0,3,17,24.29,128.28,12,13,25,N
7,9,0,10,59,42.97,2222.69,33,19,77,Y
1,0,0,9,65,58.52,1114.39,35,16,68,N
4,0,0,6,21,33.67,699.75,19,15,27,N
1,1,24,1,39,18.13,960.25,12,19,67,N
2,0,0,2,6,7.4,14,3,7,8,N
0,1,0,3,13,27.93,187.73,12,12,16,N
18,6,2,1,59,170.62,2305.27,79,16,89,N
1,0,0,1,6,14.08,24.54,5,7,9,N
10,0,20,16,51,83.19,5381.99,56,21,81,N
22,0,2,21,97,49.54,5513.19,60,41,123,Y
0,0,0,2,12,19.93,34.36,7,6,14,N
5,0,1,2,19,34.38,322.79,16,13,28,Y
0,0,0,1,4,7.11,22.22,2,5,6,N
2,0,0,1,13,11.32,89.3,6,11,17,N
0,0,4,1,13,13.11,59.01,5,9,20,Y
34,0,34,68,393,177.24,50774.76,126,26,463,Y
5,2,1,3,45,50.44,1443.25,36,19,57,N
8,3,13,7,39,62.44,1097.28,42,18,65,N
1,0,0,1,6,22.95,32.58,9,7,9,N
10,0,13,6,51,78.59,1277.54,38,13,77,N
5,0,1,1,14,47.88,202.97,17,11,23,N
2,0,0,3,30,32.4,1047.05,25,18,32,N
4,1,14,2,3,10.28,10.93,4,7,24,N
0,0,0,1,3,14.62,5.08,5,5,5,N
1,0,0,1,5,15.56,48.62,8,12,8,N
4,1,4,2,20,21.3,184.91,12,15,31,N
3,0,0,1,4,12.34,23.33,6,10,9,N
11,0,4,4,30,30.72,932.48,24,22,47,Y
6,0,1,7,63,74.79,2052.19,49,18,70,N
19,0,0,2,53,19.85,1797.96,12,17,74,N
3,0,0,3,20,27.11,417.47,20,18,27,N
3,0,0,13,23,28.38,510.82,13,12,28,Y
8,0,3,3,17,29.26,1062.29,23,21,31,N
2,0,0,1,28,15,340.68,9,13,32,N
5,1,14,7,49,23.9,982.22,15,17,71,N
9,0,7,15,83,40.13,10378.84,30,23,102,N
3,4,8,6,45,72.26,471.13,36,15,62,Y
7,2,0,3,59,22.47,5488.17,15,17,71,N
11,1,14,7,64,55.84,2758.35,36,19,92,N
3,0,0,1,9,15.6,86.67,6,10,14,N
24,0,5,2,12,14.59,45.58,6,9,43,N
0,0,0,3,9,17.85,28.2,6,8,11,N
0,0,0,1,5,20.61,18.32,6,6,7,N
11,0,3,6,49,39.77,2038.3,24,18,65,N
4,0,0,6,23,26.12,734.71,20,18,29,N
56,3,2,19,128,57.13,14120.95,45,23,193,N
3,0,9,5,41,30.67,599.02,18,15,55,N
17,0,81,15,134,69.09,13543.71,60,27,234,Y
0,0,7,3,10,15.63,39.56,6,9,19,N
3,0,2,2,13,24,27,8,8,20,N
0,0,0,1,3,8.24,11.45,3,6,5,N
3,0,0,6,30,19.97,567.54,13,14,35,N
0,0,0,1,2,14.99,7.5,5,6,4,N
2,0,0,1,7,17.71,55.35,6,9,11,N
1,0,0,1,10,26.33,106.94,10,9,15,N
5,7,5,13,102,86.26,2738.81,48,15,121,Y
3,0,0,1,7,14.5,13.43,6,7,12,Y
19,1,25,7,61,48.4,3632.86,37,20,112,N
4,0,5,2,43,53,1318.62,37,18,54,Y
0,0,0,1,3,9.05,2,2,4,6,N
5,5,5,5,29,29,641.3,20,21,46,Y
14,0,19,7,66,31.05,5045.26,24,22,101,Y
2,0,2,1,5,25.79,15.92,9,6,11,N
7,0,0,7,45,34.7,701.72,25,18,54,N
4,0,0,5,17,25.75,579.01,17,18,23,N
5,0,0,1,15,32.42,381.03,11,8,23,N
0,0,0,1,3,17.43,3.87,5,4,5,N
2,1,0,1,12,10.05,109.39,5,10,17,N
19,9,16,18,69,60.79,2938.83,42,21,115,Y
3,0,0,7,36,27.19,640.32,17,14,41,N
0,0,0,1,4,66,22.92,17,5,8,N
1,0,0,1,7,19.04,26.44,7,7,10,N
0,0,0,1,3,6,12,2,6,6,N
2,0,0,4,25,36.19,452.37,21,15,29,Y
5,0,1,4,29,26.83,210.17,12,15,37,Y
2,0,0,3,21,15.51,230.75,11,15,25,N
22,6,7,3,39,30.61,1581.73,23,23,77,N
2,0,0,1,12,24.14,121.04,9,9,18,N
12,0,0,5,65,75.24,2928.3,48,21,80,Y
3,0,7,3,27,30.38,514.69,27,23,37,N
3,0,0,2,12,13.85,130.06,8,13,15,N
5,0,2,1,20,12.74,424.88,8,14,30,N
3,0,0,2,8,25.7,42.48,11,8,13,N
7,0,0,7,52,43.03,968.13,24,14,61,N
1,0,0,3,8,14.42,76.13,8,13,11,N
0,0,0,1,14,91.05,185.8,33,8,16,N
2,0,0,1,12,25.11,503.67,11,11,17,N
1,1,9,10,42,20.02,1679.08,14,17,55,N
0,0,0,3,9,18.88,84.96,10,9,11,N
3,0,0,1,5,54.47,28.65,13,4,10,N
0,0,0,1,7,29.7,20.22,8,4,13,N
5,0,0,2,12,25.7,127.64,11,13,19,N
23,1,3,21,177,40.16,18982.56,49,40,206,N
1,0,1,2,6,24.38,38.31,11,9,11,N
2,0,0,3,10,9.56,172.08,4,8,14,N
11,0,5,2,29,72.46,357.87,35,12,47,Y
10,0,25,9,45,90.41,287.25,32,11,82,N
2,0,0,1,11,9.91,207.85,7,17,15,N
1,0,0,3,17,19.35,103.63,11,12,18,N
2,0,2,3,26,29.58,351.54,16,12,32,N
27,1,42,25,271,82.1,41858.69,70,28,343,Y
1,0,12,5,19,21.23,152.6,12,13,32,N
1,1,1,11,43,38.48,888.25,26,20,48,Y
1,0,0,1,4,12.85,8.74,4,7,7,Y
5,0,0,1,14,48.34,96.68,18,9,22,N
0,0,0,2,9,12.69,27.98,5,9,11,N
2,0,0,1,5,13.22,23.02,5,8,9,N
5,0,1,1,10,36.12,89.19,12,10,19,N
45,0,1,45,186,66.39,16747.13,102,58,234,Y
6,0,0,6,25,25.48,1143.34,19,18,33,Y
22,0,7,35,102,104.67,6419.19,62,20,136,Y
1,0,0,2,10,11.26,160.08,7,14,13,N
14,0,20,3,37,75.25,490.61,39,13,74,N
0,0,0,6,12,49.26,105.95,18,7,14,Y
9,0,4,4,54,47.85,1909.56,38,21,69,N
4,0,1,1,22,11.38,1321.17,7,16,30,N
11,2,10,10,42,52.18,1193.86,34,20,69,Y
2,0,0,5,26,31.53,512.15,20,19,30,N
15,0,1,1,36,102.08,3419.66,45,17,56,N
0,0,0,1,6,11.39,13.78,3,7,8,N
11,2,3,6,45,39.57,1102.33,28,22,63,Y
4,0,0,2,16,34.98,163.28,18,11,22,Y
1,0,0,2,8,22.46,101.06,14,12,11,N
4,0,0,3,11,25.48,120.63,13,10,19,Y
1,1,0,1,6,17.63,28.56,5,9,11,N
54,3,26,27,243,156.31,16823.9,125,28,328,N
20,0,19,8,114,45.97,7747.77,38,26,157,N
13,1,3,7,59,48.34,1208.26,33,20,78,N
6,0,1,2,25,43.67,186.2,23,13,34,Y
3,3,0,1,36,39.81,349.22,23,17,44,Y
7,0,0,3,31,94.74,477.21,46,12,40,N
5,0,4,2,16,40.22,72.6,15,9,27,N
4,0,7,2,25,44.64,501.63,27,16,39,N
2,0,0,2,17,17.17,186.95,12,16,21,N
3,0,0,7,29,56.37,4190.34,38,20,34,Y
9,0,1,2,34,26.59,289.52,18,18,46,N
23,0,0,16,93,37.84,5132.28,34,28,118,Y
1,0,1,1,22,36.37,439.58,16,8,26,N
1,0,0,1,6,22.94,77.09,9,10,9,N
69,0,21,25,298,67.71,111395.74,91,58,390,Y
0,0,1,2,6,18.6,6.46,5,5,9,N
8,0,0,8,51,53.03,3503.42,29,16,61,Y
2,0,0,1,12,71.16,123.98,25,8,16,N
7,0,0,5,32,24.6,717.29,17,19,41,N
0,0,0,1,6,34.41,21.24,9,4,8,Y
3,0,0,2,9,9.93,145.73,6,13,14,Y
2,0,0,1,11,14.15,69.9,7,11,15,Y
4,3,2,2,30,27.16,593.43,18,17,41,N
1,0,0,1,28,26.73,350,17,18,31,N
30,4,1,3,106,65.95,1643.07,34,18,143,Y
32,2,28,11,75,75.13,2881.54,51,20,139,N
2,0,0,5,40,32.72,2107.61,23,18,44,N
0,0,0,1,3,20.77,23.36,10,9,5,N
32,0,43,17,158,277.1,11506.33,115,12,235,Y
10,2,2,7,45,55.74,1461.43,29,18,61,Y
2,0,6,2,19,18.58,230.1,14,19,27,N
8,2,0,4,79,45.33,1931.74,23,14,92,N
0,0,0,1,9,11.67,25.32,4,5,11,N
5,0,1,2,16,20.65,133.78,10,12,24,N
3,0,0,1,4,12.8,12.55,5,7,9,N
29,1,10,21,480,207.99,90384.77,159,25,522,N
5,0,4,5,36,14.64,1771.15,9,15,47,N
5,0,2,59,129,103.54,11578.21,66,21,138,N
29,0,13,1,140,129.78,9305.55,87,19,184,Y
3,0,0,7,40,40.65,579.5,26,17,45,N
4,0,2,2,19,38.33,172.5,20,12,28,N
1,0,0,2,22,26.83,354.28,18,15,25,Y
2,1,0,13,32,47.94,828.75,25,14,37,N
8,0,0,1,20,25.24,332.5,15,14,30,N
5,0,0,2,23,22.98,413.64,15,18,31,N
3,2,2,3,20,26.51,350.52,14,12,29,Y
16,1,1,2,7,11.99,29.61,6,8,27,N
5,0,0,4,22,37.82,118.18,18,10,29,N
11,0,7,1,26,13.94,1243.93,7,11,47,N
13,0,5,7,48,23.76,2062.94,17,21,68,Y
4,0,0,6,33,23.82,1130,16,17,40,N
2,0,0,1,22,29.26,346.75,19,15,26,Y
1,0,0,2,5,17.62,74.57,11,12,8,N
13,0,0,8,106,58.13,22563.8,34,14,122,N
2,0,0,20,70,57.62,7525.78,68,42,74,Y
3,0,0,3,14,35.37,239.8,21,16,19,N
19,0,0,5,68,27.98,1850.01,19,23,89,Y
23,0,35,14,111,107.99,7122.29,67,19,171,Y
10,11,10,10,61,38.94,3227.4,44,33,94,Y
27,0,16,1,73,139.24,5053.78,50,9,119,N
3,0,1,3,22,15.9,653.47,10,16,28,N
4,0,8,1,10,14.43,69.12,7,13,25,N
3,0,0,1,8,33.5,50.17,13,9,13,N
2,0,0,1,7,14.69,17.77,6,8,11,N
1,0,0,2,16,20.81,166.49,10,12,19,Y
0,0,0,2,7,17.22,15.95,6,7,9,N
12,0,1,1,33,168.98,784.2,68,11,48,N
18,0,6,7,31,65.31,711.13,36,14,58,N
5,0,10,4,33,39.44,564.88,27,17,50,N
1,0,0,1,9,10.52,32.86,3,9,12,N
0,0,0,1,5,13.2,4.58,4,4,7,N
2,0,0,2,14,24.27,82.99,13,12,18,N
4,0,0,5,26,41.74,500.28,24,15,32,N
1,0,0,1,3,17.43,3.87,5,4,6,N
8,0,0,31,102,44.44,11018.12,31,19,112,N
25,0,19,5,51,63.13,687.38,32,14,97,Y
10,0,1,3,47,49.99,2622.75,41,21,58,N
10,0,1,4,251,295.05,14803.57,145,15,264,N
0,0,0,1,4,6.89,13.79,2,4,7,N
0,0,0,3,15,24.51,558.37,12,9,17,Y
0,0,4,3,16,32.58,128.05,17,11,22,N
2,0,0,5,23,19.47,1603.39,15,21,27,N
3,0,0,2,25,50.57,690.93,33,15,30,N
0,0,0,2,10,52.25,61.43,20,8,12,N
5,0,0,2,22,26.56,301.71,15,13,29,Y
11,3,12,5,52,20.88,2822.78,18,24,82,N
17,4,11,16,119,61.32,6116.19,54,26,153,N
9,0,27,13,157,182.84,21776.93,146,26,193,Y
0,0,0,1,3,9.05,2,2,4,5,N
4,1,0,7,39,46.5,1846.78,40,23,44,N
3,0,0,5,8,19.94,18.47,6,7,13,N
2,0,0,4,23,32.87,455.19,19,15,28,N
5,0,0,4,16,28.67,147.55,12,11,23,Y
4,0,5,3,16,29.2,72.37,14,11,27,Y
1,0,0,1,4,14.41,10.38,5,6,7,N
3,0,0,3,19,67.17,512.95,29,10,24,N
6,0,5,4,19,27.61,145.82,16,12,32,N
4,0,0,3,17,27,121.5,12,12,24,Y
1,0,0,1,6,6.38,63.04,3,10,9,N
5,0,2,5,33,48.76,742.87,25,12,42,Y
6,0,1,2,32,43.39,1101.38,24,18,41,Y
0,0,0,2,12,32.21,103.77,13,9,12,N
8,1,0,3,29,38.2,1236.62,25,17,40,Y
0,0,4,1,5,17.17,5.49,5,4,9,N
7,7,0,6,53,53.73,1171.96,35,19,69,Y
6,0,0,2,24,42.13,372.36,22,15,33,N
4,0,0,1,13,23.78,136.22,13,12,19,Y
13,0,0,11,49,39.51,857.03,25,19,64,Y
7,0,0,6,49,38.62,1841.77,32,25,59,Y
1,0,0,1,4,15.5,7.75,5,5,7,N
10,3,3,3,40,38.16,1180.87,25,20,58,N
9,0,1,3,13,19.77,82.48,9,12,25,Y
6,0,0,3,21,38.63,311.11,25,14,29,Y
4,0,0,2,22,17.63,1414.44,13,19,28,N
0,0,0,1,2,5.8,1.29,1,4,4,N
25,0,15,2,53,121.52,3412.71,61,13,95,Y
1,0,0,1,5,21.98,27.14,7,6,8,N
15,2,21,7,79,74.63,2583.37,53,21,119,Y
0,0,0,6,22,43.97,320.51,22,12,24,N
2,0,12,5,25,40.76,512.39,24,19,41,Y
7,0,2,4,33,49.34,771.27,31,16,44,N
5,0,0,3,25,18.65,932.31,12,18,35,N
3,0,0,4,17,23.99,520.65,17,16,22,N
0,0,0,1,2,14.8,10.07,6,7,4,N
15,3,24,22,129,57.41,18037.5,37,21,175,Y
1,0,0,3,17,30.37,421.88,16,11,18,N
14,4,33,16,98,55.35,6366.35,30,21,151,Y
2,0,0,5,61,48.69,23641.63,31,23,65,N
8,0,8,12,43,58.69,1021.23,33,16,62,N
0,0,0,1,7,17.27,29.78,7,6,9,N
4,0,0,3,28,25.9,280.88,17,19,35,N
1,0,0,1,21,16.61,128.75,8,9,24,N
0,0,1,1,20,94.62,126.21,30,7,23,N
6,0,1,1,12,36.59,103.71,14,10,21,N
5,0,0,1,25,81.3,284.9,26,7,32,N
0,0,0,1,26,115.38,352.58,24,4,34,N
17,0,6,4,64,77.19,2346.63,56,20,90,Y
33,1,1,6,287,252.67,27607.09,138,17,324,Y
0,0,0,1,6,12.6,31.11,6,10,8,N
3,0,0,2,20,27.96,727.98,17,16,25,Y
7,0,0,2,22,34.41,355.28,19,14,29,N
4,0,13,6,32,25.31,825.14,20,19,51,N
2,0,0,2,7,31.21,28.91,12,7,11,N
34,18,55,6,103,144.02,7450.69,93,22,212,N
0,0,0,2,13,31.35,77.01,10,7,15,N
4,0,3,4,17,17.76,679.81,12,18,27,N
1,0,0,1,4,12.55,11.15,4,8,8,N
12,3,19,7,52,41.29,2536.17,24,21,88,Y
0,0,0,4,11,17.89,53.14,8,9,14,Y
1,0,2,1,8,13.54,60.92,5,9,13,N
1,0,0,2,9,11.78,55,6,10,12,N
1,0,0,2,8,38.04,25.32,13,6,11,N
5,0,6,5,26,26.36,934.68,19,20,37,N
6,0,0,2,11,47.46,297.11,26,12,20,Y
3,0,0,1,9,13.83,123.25,6,8,15,N
2,0,0,2,7,16.42,25.95,6,8,11,N
5,1,0,1,18,23.28,130.5,11,13,26,N
16,0,32,6,61,59.45,2413.48,47,21,109,Y
4,2,0,12,50,34.38,5828.04,31,25,58,N
5,0,2,1,11,18.8,204.73,12,14,20,N
26,10,13,3,19,26.92,265.89,21,20,71,Y
3,0,0,4,11,34.57,626.16,18,13,16,N
16,0,59,11,106,58.35,5030.3,47,23,185,N
1,0,5,2,16,19.73,95.83,10,11,24,N
2,0,0,4,21,46.07,445.22,29,17,25,N
4,0,2,4,35,46.04,767.71,20,11,43,N
0,0,0,1,5,29.09,17.6,10,6,7,N
3,0,0,2,7,11.52,20.08,5,7,12,N
1,0,0,2,12,18.56,148.46,7,8,15,N
17,0,92,16,139,99.72,52128.39,64,32,250,Y
7,0,0,2,44,117.59,1469.85,64,16,53,Y
3,0,2,2,15,28.92,111.04,16,14,22,N
4,0,5,6,30,36,1049.74,22,21,46,N
3,0,0,3,27,25.53,502.49,14,17,32,N
7,0,1,4,37,14.2,1225.47,12,22,47,N
0,0,0,1,3,20.91,92.81,8,11,6,N
3,0,0,1,12,16.54,83.73,11,14,15,N
8,0,5,5,35,38.9,759.78,24,15,50,N
3,0,0,1,6,20.51,13.39,7,6,11,N
7,4,6,4,20,35.66,431.61,25,18,39,N
2,0,0,1,7,11.35,52.96,6,10,11,N
1,1,24,5,29,62.74,437.24,25,10,57,Y
1,0,2,2,6,13.19,7.15,4,5,11,N
9,0,0,5,46,23.19,1731.82,18,20,57,N
8,0,3,1,20,19.49,411.64,10,13,34,N
1,0,0,1,9,21.28,49.94,10,10,12,N
11,0,7,3,24,22.33,408,15,17,44,N
0,0,0,1,2,17.43,3.87,5,4,4,N
11,1,0,3,35,42.83,2105.82,28,17,49,N
46,13,21,6,35,30.15,1107.51,28,24,118,N
3,2,0,5,24,26.92,257.61,16,14,31,N
1,0,0,1,7,10.81,23.84,5,7,10,N
4,0,4,2,10,20.22,29.71,7,9,20,N
6,0,1,6,70,78.83,1701.87,47,17,79,N
11,0,0,7,54,32.04,1327.15,20,14,67,N
2,0,0,2,14,17.79,55.6,9,9,18,N
3,1,0,2,14,18.85,61.07,11,14,20,N
10,0,1,2,19,22.68,388.12,10,13,33,N
9,0,4,15,62,91.8,1659.65,51,16,77,Y
2,0,0,2,6,13.71,25.93,6,10,10,N
7,0,0,7,59,49.07,3188.82,35,21,68,Y
6,1,19,5,66,35.83,2371.31,29,22,94,Y
0,0,0,1,4,27.47,3.43,6,3,6,N
8,0,0,3,34,33.85,1956.6,31,25,42,N
6,0,1,3,28,46.6,486.41,29,15,39,Y
3,0,0,1,17,21.71,404.25,13,17,23,N
0,0,0,2,9,16.14,10.98,5,5,11,Y
37,0,28,7,107,122.46,4138.1,86,21,174,Y
7,0,0,3,21,35.2,827.54,21,18,30,Y
0,0,0,1,6,8.4,22.87,4,7,8,N
3,0,0,1,2,7.75,1.72,2,4,7,N
0,0,0,3,22,17.99,247.87,10,15,24,N
1,0,0,2,9,16.97,73.01,10,11,12,N
1,0,0,3,19,43.86,252.23,23,12,23,N
1,1,1,2,13,28.43,30.58,10,8,18,N
3,0,0,1,7,28.55,57.1,12,9,12,N
2,0,0,2,14,21.4,131.05,12,12,19,N
4,0,0,3,29,26.25,911.5,17,17,35,N
4,0,0,4,30,34.69,490.59,22,18,37,N
4,0,0,3,20,18.07,401.52,12,15,26,N
3,1,1,5,67,46.32,3323.28,32,20,74,N
4,0,2,3,24,31.55,324.21,20,16,34,N
2,0,0,1,3,6.97,1.55,1,4,7,Y
1,0,1,1,21,36.37,439.58,16,8,25,N
2,0,0,7,51,38.6,1167.53,27,18,55,N
3,0,0,2,18,33.4,727.36,20,18,23,N
4,0,0,3,14,19.7,80.12,9,11,20,N
3,0,7,4,35,47.6,562.36,36,21,45,N
0,0,0,1,3,16.12,14.34,6,6,5,N
8,0,0,6,43,37.62,721.09,27,17,53,N
1,0,0,1,5,15.95,5.54,5,5,6,N
13,2,4,9,75,58.69,1687.46,36,18,96,Y
3,0,0,3,14,17.35,45.31,7,12,20,N
31,0,6,16,112,53.96,4752,48,26,151,Y
1,0,0,3,5,13.14,32.43,6,8,8,N
4,0,1,6,18,31.94,680.53,18,15,25,N
14,0,15,4,76,49.5,2806.42,45,25,105,N
2,0,0,1,8,24.34,63.93,12,11,12,Y
0,1,0,1,1,0,0,0,3,4,N
7,0,1,1,22,38.56,583.19,14,11,33,N
1,1,0,3,17,23.2,160.04,14,12,22,N
4,0,0,3,25,21.96,307.76,17,18,31,N
2,0,1,2,7,17.22,15.95,6,7,12,N
30,0,1,1,21,12.26,196.91,6,12,54,N
1,0,0,1,3,11.7,7.22,3,5,6,N
3,0,2,3,26,78.62,383.87,32,12,33,N
0,0,0,1,3,6.55,3.28,1,6,6,N
8,0,0,6,46,66.7,604.64,31,11,57,Y
0,0,1,1,5,10.35,25.56,3,5,9,N
1,0,0,2,13,22.84,25.7,8,6,16,N
0,0,0,2,3,14.62,5.08,5,5,5,N
11,0,3,1,39,40.7,1451.02,21,14,56,N
0,0,0,1,3,11.52,9,4,6,5,N
1,0,0,2,6,13.22,43.69,7,12,9,Y
4,1,0,2,18,43.79,101.8,16,9,26,N
3,0,5,6,41,37.34,1325.48,27,21,51,N
12,0,8,5,81,68.05,3044.84,50,22,103,Y
12,0,0,4,66,64.87,2807.92,34,13,80,N
20,0,0,1,9,9.87,24.98,4,9,31,N
7,0,18,4,37,49.2,2462.4,32,17,65,N
32,7,33,63,428,97.55,66130.02,71,23,502,Y
13,2,4,2,24,25.83,545.63,17,17,48,N
4,0,3,1,12,29.42,129,13,11,21,N
1,0,0,2,6,13.71,25.93,6,10,10,N
1,0,0,2,5,12.68,4.4,4,5,8,N
2,0,2,3,15,30.5,117.68,12,10,25,N
2,0,0,3,15,19.62,427.26,15,18,19,N
2,0,0,2,11,20.17,156.54,11,13,15,N
6,5,1,13,38,53.34,939.62,31,16,52,N
2,0,1,5,31,53.79,758.82,31,13,36,Y
3,1,3,2,22,30.9,511.61,19,16,29,N
9,0,15,5,41,28.11,544.09,15,14,67,N
4,0,0,2,9,16.21,59.48,8,13,15,N
0,0,5,3,10,28.32,71.68,10,9,17,N
6,1,0,6,20,33.61,674.11,21,19,29,N
2,1,3,4,15,19.01,270.42,14,16,23,Y
4,0,1,1,22,8.94,732.47,5,12,30,N
12,1,14,2,24,39,350.93,22,14,53,Y
3,1,0,1,21,24.96,112.33,12,12,27,N
2,0,2,2,6,19.12,47.2,9,10,12,N
1,0,1,1,3,10.63,8.3,4,6,7,N
1,1,0,11,23,69.2,238.42,24,7,27,N
6,0,0,2,9,14.99,7.5,5,6,17,N
26,2,8,25,130,90.65,21844.23,83,29,169,Y
4,0,0,2,10,26.65,53.3,10,10,16,N
2,0,0,3,8,17.3,12.45,5,6,12,N
6,0,0,3,19,24.65,101.07,11,9,27,N
3,0,0,2,19,16.79,229.32,11,15,25,N
21,13,26,28,126,96.84,12455.7,78,27,188,N
0,0,0,3,15,32.03,301.9,19,15,17,N
3,0,6,2,10,28.1,148.43,16,12,22,Y
6,0,15,18,88,60.41,1871.14,49,26,111,N
4,0,3,1,10,25.95,116.76,9,9,19,N
5,21,0,5,46,79.6,437.7,49,13,74,N
1,0,0,1,4,25.59,27.52,10,8,7,N
15,0,6,3,45,62.76,1329.68,36,19,69,Y
16,0,36,6,55,42.08,2233.58,33,24,109,N
0,0,0,1,2,9.6,3.33,3,5,5,N
17,1,17,58,287,209.56,7024.21,111,19,325,Y
5,0,1,3,32,83.93,295.49,38,11,41,N
8,0,5,7,46,41.47,861.2,27,18,61,Y
18,0,0,4,85,68.49,4482,75,33,103,N
3,0,0,1,14,18.48,67.76,8,10,17,N
3,0,0,3,27,37.73,561.22,22,18,32,Y
1,0,0,1,7,25.73,7.47,7,4,8,N
